Operator,Average Spent Time (mins)
Samaya for the transportation o,21.4
AL-Dar AL-Bydaa,18.9
Al Maher Al Massi Transport Com,18.7
Mawakeb Al Janoub  Company,27.8
QAFILAT ALHIJAZ FOR TRANSPORTAT,13.9
AL-ojoor Company,22.1
AL-wafaa Diamond,14.7
AL.MUTASADIR COMPANY,19.4
Afaj Alalmeeya Company,17.3
Al Baraka Company,17.7
Al Khomri Company For Hotels Ha,22.2
Al Safeer Company For The Trans,21
Al madinah Al menawarah for the,20.5
Al-Sunbulah Al-Raqiyya,18.3
Aljomoh Transportation Service ,19.1
Almassa Almotamiza for the tran,14.1
Ameer Albaher For The Transport,52.5
Anaqeel Aarbi,18.1
Atheer Almshaer,1.3
Carthage Alhadetha Company for ,4.5
EL Mahanaa El momaiz For The Tr,11
Hafil Company For Transportaion,11.6
Hussein Mohammad Hijazi COMPANI,16.9
Kayan Almashaer Transport Compa,14.7
Makkah Transportation Company,23.9
Masar AL-hafelt,16.8
Mawakeb Al Khair Transport Comp,85.3
Mazaya For The Transportation o,19.8
Mustakbal Al Mashair For TheTra,4.3
Nasir Andullah Abu Sarhad Group,15.2
Rabitat El Mashaer,12.5
Rahal Al-Oula,21.3
Rawaf Transport Company,24.2
Rawahel al mashaer for the tran,25
Rekab Alowla for the transporta,9.7
Rowad Al-Afdal Company,29
Rsaeel ALhoda,9.2
Ruba Al Hijaz,14.4
SAQAR ALHIAJ,12.1
SHARIA FOUNDATION,17.8
Saleh Adnan Mosli Est,30.3
Saudi Al Qaid Co,20.4
Saudi Public Transport Company,15
Setr Al Rakan Trading Company,18.8
Shqadaf Company For Transportat,22.8
Takween Al Watan Co.Ltd,2.2
Tarheeb Transport LTD,13
Tawaf Transport Services Compan,23.3
Trabut Co Ltd,21.2
Travel Gate,14.4
Umm Alqura Co,3.3
Zaer transport company for Tran,35.2
alwataniya company for umrah,33.5
basma emaar group for transport,4.6
dawahi alkhair company,23.7
makkiyoon Al Zahabia Company Fo,20.6
Dalah Company For Transportatio,15.2
Tabarak Internation for the tra,20.1
Al Serag Transportation Co.,0.9
Maaden Hajj And Umrah Trasporta,9.4
Dura Al Munawwarah,17.5
Terhal,17.9
Arkan Almashaer for the transpo,16.4
Abdulelah M. Ali Maghrabi for t,6
Mrasee,6.6
Al-Baraka International Trading,25.4
alwessam almutamayiza for the t,18.8
