Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,84,5250.92,62.51
AL-ojoor Company,45,2871.98,63.82
AL-wafaa Diamond,8,379.38,47.42
AL.MUTASADIR COMPANY,12,535.45,44.62
Abdulelah M. Ali Maghrabi for the transportation of pilgrims,12,580.42,48.37
Afaj Alalmeeya Company,118,5393.83,45.71
Al Baraka Company,40,2346.08,58.65
Al Khomri Company For Hotels Hajj and Umrah,59,2811.98,47.66
Al Maher Al Massi Transport Company,19,1372.02,72.21
Al Safeer Company For The Transportation of pilgrims,47,3505.07,74.58
Al Serag Transportation Co.,402,1482.13,3.69
Al madinah Al menawarah for the transportation of pilgrims,44,2096.58,47.65
Al-Sunbulah Al-Raqiyya,215,11902.57,55.36
Aljomoh Transportation Service Company,137,6013.55,43.89
Almassa Almotamiza for the transportation of pilgrims,47,2197.53,46.76
Ameer Albaher For The Transportation of pilgrims,19,898.13,47.27
Anaqeel Aarbi,17,856.13,50.36
Arkan Almashaer for the transportation of pilgrims,19,838.15,44.11
Dalah Company For Transportation of Pilgrims,49,2420.27,49.39
Dura Al Munawwarah,99,8465.85,85.51
EL Mahanaa El momaiz For The Transportation of Pilgrims,58,3118.93,53.77
Hafil Company For Transportaion,93,5389.8,57.95
Hussein Mohammad Hijazi COMPANI For Transportaion,435,25895.85,59.53
Kayan Almashaer Transport Company,37,2021.93,54.65
Maaden Hajj And Umrah Trasportation,2,22.53,11.27
Makkah Transportation Company,52,2785.97,53.58
Masar AL-hafelt,80,3689.57,46.12
Mawakeb Al Janoub  Company,149,10536.85,70.72
Mawakeb Al Khair Transport Company,9,561.53,62.39
Mazaya For The Transportation of Pilgrims,172,10819.3,62.9
Mrasee,2,93.72,46.86
Mustakbal Al Mashair For TheTransportation of Pilgrims,6,206.03,34.34
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,100,2799.37,27.99
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,195,8799.02,45.12
Rabitat El Mashaer,49,3998.12,81.59
Rahal Al-Oula,24,998.97,41.62
Rawaf Transport Company,215,13078.98,60.83
Rawahel al mashaer for the transportation of pilgrims,216,14349.13,66.43
Rekab Alowla for the transportation of pilgrims,2,141.82,70.91
Rowad Al-Afdal Company,24,1542.88,64.29
Rsaeel ALhoda,8,609.55,76.19
Ruba Al Hijaz,11,1143.87,103.99
SAQAR ALHIAJ,156,6511.43,41.74
SHARIA FOUNDATION,47,2361.7,50.25
Saleh Adnan Mosli Est,12,730.12,60.84
Samaya for the transportation of pilgrims,120,7799.67,65
Saudi Al Qaid Co,81,3068.58,37.88
Saudi Public Transport Company,7,144.1,20.59
Setr Al Rakan Trading Company,51,3610.82,70.8
Shqadaf Company For Transportation,69,4469.18,64.77
Tabarak Internation for the transportation of pilgrims,3,120.63,40.21
Tarheeb Transport LTD,39,3561.48,91.32
Tawaf Transport Services Company,139,9434.63,67.88
Terhal,83,4687.37,56.47
Trabut Co Ltd,41,3019.25,73.64
Travel Gate,66,3872.88,58.68
Unknown,105,6518.4,62.08
Zaer transport company for Transportation,39,1824.9,46.79
alwataniya company for umrah,132,5930.42,44.93
alwessam almutamayiza for the transportation of pilgrims,9,160.38,17.82
basma emaar group for transportation,256,15031.36,58.72
dawahi alkhair company,232,15509.75,66.85
makkiyoon Al Zahabia Company For Transportation,67,3963.33,59.15
