Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,734,14541.55,19.81
AL-ojoor Company,703,14938.55,21.25
AL-wafaa Diamond,121,2118.85,17.51
AL.MUTASADIR COMPANY,277,4344.72,15.68
Abdulelah M. Ali Maghrabi for the transportation of pilgrims,31,218.02,7.03
Afaj Alalmeeya Company,882,17215.23,19.52
Al Baraka Company,1443,27699.68,19.2
Al Khomri Company For Hotels Hajj and Umrah,354,7940.55,22.43
Al Maher Al Massi Transport Company,373,12408.05,33.27
Al Safeer Company For The Transportation of pilgrims,947,19018.85,20.08
Al Serag Transportation Co.,13,109.75,8.44
Al madinah Al menawarah for the transportation of pilgrims,1401,30463.93,21.74
Al-Baraka International Trading Company,32,930.38,29.07
Al-Sunbulah Al-Raqiyya,1052,22541.09,21.43
Aljomoh Transportation Service Company,1149,22650.67,19.71
Almassa Almotamiza for the transportation of pilgrims,416,4778.32,11.49
Ameer Albaher For The Transportation of pilgrims,547,25371.28,46.38
Anaqeel Aarbi,427,8509.93,19.93
Arkan Almashaer for the transportation of pilgrims,289,5862.68,20.29
Atheer Almshaer,189,309.52,1.64
Carthage Alhadetha Company for the transportation of pilgrims,445,1498.17,3.37
Dalah Company For Transportation of Pilgrims,675,11385.8,16.87
Dura Al Munawwarah,8112,152811.2,18.84
EL Mahanaa El momaiz For The Transportation of Pilgrims,943,11574.77,12.27
Hafil Company For Transportaion,1075,14085.6,13.1
Hussein Mohammad Hijazi COMPANI For Transportaion,4200,79776.2,18.99
Kayan Almashaer Transport Company,695,10817.73,15.57
Maaden Hajj And Umrah Trasportation,71,859,12.1
Makkah Transportation Company,438,11705.1,26.72
Masar AL-hafelt,546,9184.95,16.82
Mawakeb Al Janoub  Company,1071,27409.15,25.59
Mawakeb Al Khair Transport Company,312,23535.3,75.43
Mazaya For The Transportation of Pilgrims,1393,25031.05,17.97
Mrasee,46,533.5,11.6
Mustakbal Al Mashair For TheTransportation of Pilgrims,350,1681.07,4.8
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,1478,23643.08,16
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,2740,41252.42,15.06
Rabitat El Mashaer,740,10599.4,14.32
Rahal Al-Oula,367,7344.23,20.01
Rawaf Transport Company,2650,63194.31,23.85
Rawahel al mashaer for the transportation of pilgrims,2489,61479.39,24.7
Rekab Alowla for the transportation of pilgrims,211,2335.92,11.07
Rowad Al-Afdal Company,482,12015.43,24.93
Rsaeel ALhoda,173,1476.4,8.53
Ruba Al Hijaz,265,4166.18,15.72
SAQAR ALHIAJ,970,12091.87,12.47
SHARIA FOUNDATION,519,10429.13,20.09
Saleh Adnan Mosli Est,246,7531.05,30.61
Samaya for the transportation of pilgrims,1660,34237.65,20.63
Saudi Al Qaid Co,707,13716.73,19.4
Saudi Public Transport Company,834,12036.48,14.43
Setr Al Rakan Trading Company,483,9806.85,20.3
Shqadaf Company For Transportation,519,12221.13,23.55
Tabarak Internation for the transportation of pilgrims,60,2212.46,36.87
Takween Al Watan Co.Ltd,58,163.4,2.82
Tarheeb Transport LTD,329,5505.87,16.74
Tawaf Transport Services Company,1155,30322.45,26.25
Terhal,512,8935.07,17.45
Trabut Co Ltd,369,7907.8,21.43
Travel Gate,850,13577.62,15.97
Umm Alqura Co,85,226.12,2.66
Unknown,2238,40423.81,18.06
Zaer transport company for Transportation,192,8031.94,41.83
alwataniya company for umrah,1004,31342.11,31.22
alwessam almutamayiza for the transportation of pilgrims,105,1913.85,18.23
basma emaar group for transportation,3194,15254.39,4.78
dawahi alkhair company,1871,43361.57,23.18
makkiyoon Al Zahabia Company For Transportation,470,10833.52,23.05
