Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,61,41.03,0.67
AL-ojoor Company,241,235.32,0.98
AL-wafaa Diamond,39,57.35,1.47
AL.MUTASADIR COMPANY,60,52.97,0.88
Abdulelah M. Ali Maghrabi for the transportation of pilgrims,12,16.28,1.36
Afaj Alalmeeya Company,228,146.85,0.64
Al Baraka Company,284,334.78,1.18
Al Khomri Company For Hotels Hajj and Umrah,63,39.5,0.63
Al Maher Al Massi Transport Company,204,230.32,1.13
Al Safeer Company For The Transportation of pilgrims,110,88.37,0.8
Al Serag Transportation Co.,8,15.37,1.92
Al madinah Al menawarah for the transportation of pilgrims,161,150.58,0.94
Al-Baraka International Trading Company,6,4.4,0.73
Al-Sunbulah Al-Raqiyya,280,141.02,0.5
Aljomoh Transportation Service Company,145,113.65,0.78
Almassa Almotamiza for the transportation of pilgrims,69,40.03,0.58
Ameer Albaher For The Transportation of pilgrims,84,102.35,1.22
Anaqeel Aarbi,137,140.33,1.02
Arkan Almashaer for the transportation of pilgrims,33,20.07,0.61
Atheer Almshaer,125,221.1,1.77
Carthage Alhadetha Company for the transportation of pilgrims,579,775.23,1.34
Dalah Company For Transportation of Pilgrims,66,40.72,0.62
Dura Al Munawwarah,699,435.32,0.62
EL Mahanaa El momaiz For The Transportation of Pilgrims,431,448.02,1.04
Hafil Company For Transportaion,261,309.11,1.18
Hussein Mohammad Hijazi COMPANI For Transportaion,674,966.21,1.43
Kayan Almashaer Transport Company,170,161.48,0.95
Maaden Hajj And Umrah Trasportation,31,36.72,1.18
Makkah Transportation Company,15,16.97,1.13
Masar AL-hafelt,141,92.08,0.65
Mawakeb Al Janoub  Company,117,60.17,0.51
Mawakeb Al Khair Transport Company,35,42.83,1.22
Mazaya For The Transportation of Pilgrims,259,255.37,0.99
Mrasee,28,47.95,1.71
Mustakbal Al Mashair For TheTransportation of Pilgrims,185,236.37,1.28
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,755,1008,1.34
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,469,514.17,1.1
Rabitat El Mashaer,68,54.52,0.8
Rahal Al-Oula,100,524.53,5.25
Rawaf Transport Company,590,578.7,0.98
Rawahel al mashaer for the transportation of pilgrims,464,367.7,0.79
Rekab Alowla for the transportation of pilgrims,102,119.4,1.17
Rowad Al-Afdal Company,105,77.25,0.74
Rsaeel ALhoda,172,220.23,1.28
Ruba Al Hijaz,150,173.97,1.16
SAQAR ALHIAJ,187,133.1,0.71
SHARIA FOUNDATION,140,160.23,1.14
Saleh Adnan Mosli Est,27,25.88,0.96
Samaya for the transportation of pilgrims,420,379.94,0.9
Saudi Al Qaid Co,98,62.3,0.64
Saudi Public Transport Company,472,3704.9,7.85
Setr Al Rakan Trading Company,240,312.48,1.3
Shqadaf Company For Transportation,57,71,1.25
Tabarak Internation for the transportation of pilgrims,31,47.67,1.54
Takween Al Watan Co.Ltd,29,40.08,1.38
Tarheeb Transport LTD,78,62.78,0.8
Tawaf Transport Services Company,174,106.77,0.61
Terhal,164,100.62,0.61
Trabut Co Ltd,105,379.16,3.61
Travel Gate,159,101.85,0.64
Umm Alqura Co,57,76.13,1.34
Unknown,576,617.15,1.07
Zaer transport company for Transportation,17,11.27,0.66
alwataniya company for umrah,143,140.87,0.99
alwessam almutamayiza for the transportation of pilgrims,15,7.83,0.52
basma emaar group for transportation,242,133.14,0.55
dawahi alkhair company,314,206.1,0.66
makkiyoon Al Zahabia Company For Transportation,124,165.68,1.34
