Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,150,3248.65,21.66
AL-ojoor Company,478,26093.43,54.59
AL-wafaa Diamond,125,2395.28,19.16
AL.MUTASADIR COMPANY,173,2297.57,13.28
Abdulelah M. Ali Maghrabi for the transportation of pilgrims,36,515.85,14.33
Afaj Alalmeeya Company,734,130285.12,177.5
Al Baraka Company,615,15739.23,25.59
Al Khomri Company For Hotels Hajj and Umrah,148,1728.4,11.68
Al Maher Al Massi Transport Company,327,3185.08,9.74
Al Safeer Company For The Transportation of pilgrims,275,4535.57,16.49
Al Serag Transportation Co.,10,170.12,17.01
Al madinah Al menawarah for the transportation of pilgrims,336,4191.48,12.47
Al-Baraka International Trading Company,30,771.95,25.73
Al-Sunbulah Al-Raqiyya,727,129013.83,177.46
Aljomoh Transportation Service Company,312,4264.62,13.67
Almassa Almotamiza for the transportation of pilgrims,95,5462.92,57.5
Ameer Albaher For The Transportation of pilgrims,318,4646.77,14.61
Anaqeel Aarbi,295,2774.13,9.4
Arkan Almashaer for the transportation of pilgrims,84,2467.28,29.37
Atheer Almshaer,463,11051.33,23.87
Carthage Alhadetha Company for the transportation of pilgrims,1324,24314.48,18.36
Dalah Company For Transportation of Pilgrims,163,2266.05,13.9
Dura Al Munawwarah,1464,62825.7,42.91
EL Mahanaa El momaiz For The Transportation of Pilgrims,901,15829.37,17.57
Hafil Company For Transportaion,530,7364.88,13.9
Hussein Mohammad Hijazi COMPANI For Transportaion,1635,55061.52,33.68
Kayan Almashaer Transport Company,351,5878.77,16.75
Maaden Hajj And Umrah Trasportation,91,5701.12,62.65
Makkah Transportation Company,27,247.47,9.17
Masar AL-hafelt,291,2012.7,6.92
Mawakeb Al Janoub  Company,226,6904.67,30.55
Mawakeb Al Khair Transport Company,180,2266.32,12.59
Mazaya For The Transportation of Pilgrims,565,12226.02,21.64
Mrasee,82,1728.05,21.07
Mustakbal Al Mashair For TheTransportation of Pilgrims,501,8476.93,16.92
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,1637,23249.13,14.2
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,746,20056.12,26.88
Rabitat El Mashaer,157,14215.97,90.55
Rahal Al-Oula,144,3284.7,22.81
Rawaf Transport Company,1229,176620.57,143.71
Rawahel al mashaer for the transportation of pilgrims,1107,34356.43,31.04
Rekab Alowla for the transportation of pilgrims,227,3433.12,15.12
Rowad Al-Afdal Company,200,7828.5,39.14
Rsaeel ALhoda,391,7887.72,20.17
Ruba Al Hijaz,259,6224.97,24.03
SAQAR ALHIAJ,246,3958.97,16.09
SHARIA FOUNDATION,253,15990.48,63.2
Saleh Adnan Mosli Est,61,2043.27,33.5
Samaya for the transportation of pilgrims,949,45790.64,48.25
Saudi Al Qaid Co,209,5193.02,24.85
Saudi Public Transport Company,2537,9231.68,3.64
Setr Al Rakan Trading Company,375,19063.33,50.84
Shqadaf Company For Transportation,97,880.77,9.08
Tabarak Internation for the transportation of pilgrims,17,477.57,28.09
Takween Al Watan Co.Ltd,93,6417.3,69
Tarheeb Transport LTD,142,3060.28,21.55
Tawaf Transport Services Company,399,7266.58,18.21
Terhal,313,3321.65,10.61
Trabut Co Ltd,148,3205.75,21.66
Travel Gate,323,43323.25,134.13
Umm Alqura Co,119,2474.33,20.79
Unknown,1022,26259.95,25.69
Zaer transport company for Transportation,44,1051.47,23.9
alwataniya company for umrah,238,5379.97,22.6
alwessam almutamayiza for the transportation of pilgrims,50,224.55,4.49
basma emaar group for transportation,189,1597.19,8.45
dawahi alkhair company,1021,146381.07,143.37
makkiyoon Al Zahabia Company For Transportation,294,15527.07,52.81
