Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,319,201.65,0.63
AL-ojoor Company,170,110.75,0.65
AL-wafaa Diamond,38,27.98,0.74
AL.MUTASADIR COMPANY,62,40.32,0.65
Abdulelah M. Ali Maghrabi for the transportation of pilgrims,8,3.4,0.42
Afaj Alalmeeya Company,201,86.75,0.43
Al Baraka Company,464,380.77,0.82
Al Khomri Company For Hotels Hajj and Umrah,133,251.97,1.89
Al Maher Al Massi Transport Company,94,42.58,0.45
Al Safeer Company For The Transportation of pilgrims,189,84.1,0.44
Al Serag Transportation Co.,3,1.55,0.52
Al madinah Al menawarah for the transportation of pilgrims,243,124.52,0.51
Al-Baraka International Trading Company,7,5.17,0.74
Al-Sunbulah Al-Raqiyya,191,77.68,0.41
Aljomoh Transportation Service Company,405,304.55,0.75
Almassa Almotamiza for the transportation of pilgrims,125,61.83,0.49
Ameer Albaher For The Transportation of pilgrims,81,43.95,0.54
Anaqeel Aarbi,171,92.75,0.54
Arkan Almashaer for the transportation of pilgrims,43,26.72,0.62
Atheer Almshaer,58,38.07,0.66
Carthage Alhadetha Company for the transportation of pilgrims,199,63.08,0.32
Dalah Company For Transportation of Pilgrims,154,54.23,0.35
Dura Al Munawwarah,1423,994.7,0.7
EL Mahanaa El momaiz For The Transportation of Pilgrims,228,137.07,0.6
Hafil Company For Transportaion,358,340.27,0.95
Hussein Mohammad Hijazi COMPANI For Transportaion,738,335.28,0.45
Kayan Almashaer Transport Company,190,111.02,0.58
Maaden Hajj And Umrah Trasportation,22,16.5,0.75
Makkah Transportation Company,46,48.43,1.05
Masar AL-hafelt,103,36.82,0.36
Mawakeb Al Janoub  Company,451,389.42,0.86
Mawakeb Al Khair Transport Company,107,58.78,0.55
Mazaya For The Transportation of Pilgrims,323,185.34,0.57
Mrasee,10,4.6,0.46
Mustakbal Al Mashair For TheTransportation of Pilgrims,74,131.03,1.77
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,553,195.72,0.35
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,581,362.5,0.62
Rabitat El Mashaer,215,124.52,0.58
Rahal Al-Oula,41,19.97,0.49
Rawaf Transport Company,802,706.42,0.88
Rawahel al mashaer for the transportation of pilgrims,970,875.51,0.9
Rekab Alowla for the transportation of pilgrims,57,53.22,0.93
Rowad Al-Afdal Company,105,42.7,0.41
Rsaeel ALhoda,53,27.48,0.52
Ruba Al Hijaz,60,20.97,0.35
SAQAR ALHIAJ,248,141.5,0.57
SHARIA FOUNDATION,69,40.72,0.59
Saleh Adnan Mosli Est,42,27.33,0.65
Samaya for the transportation of pilgrims,263,144.38,0.55
Saudi Al Qaid Co,174,116.58,0.67
Saudi Public Transport Company,145,68.77,0.47
Setr Al Rakan Trading Company,154,87.47,0.57
Shqadaf Company For Transportation,264,181.65,0.69
Tabarak Internation for the transportation of pilgrims,21,73.67,3.51
Takween Al Watan Co.Ltd,16,8.07,0.5
Tarheeb Transport LTD,66,56.67,0.86
Tawaf Transport Services Company,266,136.03,0.51
Terhal,140,69.97,0.5
Trabut Co Ltd,83,55.15,0.66
Travel Gate,225,415.27,1.85
Umm Alqura Co,24,12.22,0.51
Unknown,667,364.4,0.55
Zaer transport company for Transportation,49,92.85,1.89
alwataniya company for umrah,82,36.31,0.44
alwessam almutamayiza for the transportation of pilgrims,18,8.33,0.46
basma emaar group for transportation,800,380.77,0.48
dawahi alkhair company,359,257.97,0.72
makkiyoon Al Zahabia Company For Transportation,114,102.42,0.9
