Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,188,105428.78,560.79
AL-ojoor Company,34,10280.5,302.37
AL-wafaa Diamond,2,0.32,0.16
Afaj Alalmeeya Company,22,9603.23,436.51
Al Baraka Company,177,56559.25,319.54
Al Khomri Company For Hotels Hajj and Umrah,20,9090.55,454.53
Al Maher Al Massi Transport Company,1,271.87,271.87
Al Safeer Company For The Transportation of pilgrims,19,2006,105.58
Al madinah Al menawarah for the transportation of pilgrims,29,7489.43,258.26
Al-Baraka International Trading Company,1,215.23,215.23
Al-Sunbulah Al-Raqiyya,21,8901.9,423.9
Aljomoh Transportation Service Company,16,2043.22,127.7
Almassa Almotamiza for the transportation of pilgrims,19,7004.27,368.65
Ameer Albaher For The Transportation of pilgrims,22,2331.12,105.96
Anaqeel Aarbi,13,4800.38,369.26
Arkan Almashaer for the transportation of pilgrims,7,1030.1,147.16
Carthage Alhadetha Company for the transportation of pilgrims,4,496.8,124.2
Dalah Company For Transportation of Pilgrims,11,1904.6,173.15
Dura Al Munawwarah,154,55207.72,358.49
EL Mahanaa El momaiz For The Transportation of Pilgrims,4,159.62,39.9
Hafil Company For Transportaion,58,21486,370.45
Hussein Mohammad Hijazi COMPANI For Transportaion,130,62332.29,479.48
Kayan Almashaer Transport Company,19,2903.28,152.8
Maaden Hajj And Umrah Trasportation,1,685.1,685.1
Makkah Transportation Company,7,735.43,105.06
Masar AL-hafelt,15,5046.32,336.42
Mawakeb Al Janoub  Company,83,25995.48,313.2
Mawakeb Al Khair Transport Company,20,9858.5,492.92
Mazaya For The Transportation of Pilgrims,38,9873.8,259.84
Mrasee,2,358.55,179.28
Mustakbal Al Mashair For TheTransportation of Pilgrims,1,141.75,141.75
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,25,5217.07,208.68
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,6,2574.85,429.14
Rabitat El Mashaer,54,31806.55,589.01
Rahal Al-Oula,2,2011.18,1005.59
Rawaf Transport Company,170,89914.62,528.91
Rawahel al mashaer for the transportation of pilgrims,450,285790.94,635.09
Rowad Al-Afdal Company,12,2311.62,192.63
Rsaeel ALhoda,3,189.8,63.27
Ruba Al Hijaz,1,615.5,615.5
SAQAR ALHIAJ,9,2671.02,296.78
SHARIA FOUNDATION,4,53.53,13.38
Saleh Adnan Mosli Est,16,2302.13,143.88
Samaya for the transportation of pilgrims,14,3928.93,280.64
Saudi Al Qaid Co,78,20746.27,265.98
Saudi Public Transport Company,33,2601.05,78.82
Setr Al Rakan Trading Company,25,7623.08,304.92
Shqadaf Company For Transportation,9,187.32,20.81
Takween Al Watan Co.Ltd,3,1140.1,380.03
Tarheeb Transport LTD,1,159.12,159.12
Tawaf Transport Services Company,45,14845.13,329.89
Terhal,22,5734.63,260.67
Trabut Co Ltd,3,1.63,0.54
Travel Gate,46,14319.55,311.29
Umm Alqura Co,1,87.83,87.83
Unknown,84,23231.43,276.56
Zaer transport company for Transportation,10,1392.83,139.28
alwataniya company for umrah,15,3691.47,246.1
basma emaar group for transportation,4,1.42,0.35
dawahi alkhair company,40,15232.17,380.8
makkiyoon Al Zahabia Company For Transportation,31,16837.37,543.14
