Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,19,949.3,49.96
AL-ojoor Company,167,10181.02,60.96
AL-wafaa Diamond,68,4019.9,59.12
AL.MUTASADIR COMPANY,67,3688.28,55.05
Abdulelah M. Ali Maghrabi for the transportation of pilgrims,7,427.85,61.12
Afaj Alalmeeya Company,104,5932.69,57.05
Al Baraka Company,378,23341.37,61.75
Al Khomri Company For Hotels Hajj and Umrah,33,2013.32,61.01
Al Maher Al Massi Transport Company,17,1034.9,60.88
Al Safeer Company For The Transportation of pilgrims,110,6203.37,56.39
Al Serag Transportation Co.,2,53.03,26.52
Al madinah Al menawarah for the transportation of pilgrims,127,7335.6,57.76
Al-Baraka International Trading Company,10,743.43,74.34
Al-Sunbulah Al-Raqiyya,107,7524.47,70.32
Aljomoh Transportation Service Company,108,5868.6,54.34
Almassa Almotamiza for the transportation of pilgrims,11,473.88,43.08
Ameer Albaher For The Transportation of pilgrims,162,7920.18,48.89
Anaqeel Aarbi,99,5307.55,53.61
Arkan Almashaer for the transportation of pilgrims,31,1735.95,56
Atheer Almshaer,355,17399.09,49.01
Carthage Alhadetha Company for the transportation of pilgrims,799,37916.15,47.45
Dalah Company For Transportation of Pilgrims,44,2215.5,50.35
Dura Al Munawwarah,532,38527.11,72.42
EL Mahanaa El momaiz For The Transportation of Pilgrims,439,22862.17,52.08
Hafil Company For Transportaion,137,7409.95,54.09
Hussein Mohammad Hijazi COMPANI For Transportaion,466,29044.43,62.33
Kayan Almashaer Transport Company,137,8309.63,60.65
Maaden Hajj And Umrah Trasportation,56,3124,55.79
Makkah Transportation Company,5,337.7,67.54
Masar AL-hafelt,33,2123.03,64.33
Mawakeb Al Janoub  Company,82,4955.1,60.43
Mawakeb Al Khair Transport Company,56,3492.2,62.36
Mazaya For The Transportation of Pilgrims,174,12407.07,71.3
Mrasee,61,3218.5,52.76
Mustakbal Al Mashair For TheTransportation of Pilgrims,272,13423.35,49.35
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,573,31427.58,54.85
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,278,16318.99,58.7
Rabitat El Mashaer,12,792.12,66.01
Rahal Al-Oula,49,3147.35,64.23
Rawaf Transport Company,310,18562.81,59.88
Rawahel al mashaer for the transportation of pilgrims,340,18935,55.69
Rekab Alowla for the transportation of pilgrims,94,4822.07,51.3
Rowad Al-Afdal Company,62,3837.65,61.9
Rsaeel ALhoda,218,11408.88,52.33
Ruba Al Hijaz,113,5995.08,53.05
SAQAR ALHIAJ,80,4235.45,52.94
SHARIA FOUNDATION,125,6840.93,54.73
Saleh Adnan Mosli Est,49,3265.37,66.64
Samaya for the transportation of pilgrims,232,14367.78,61.93
Saudi Al Qaid Co,89,4452.72,50.03
Saudi Public Transport Company,50,2798.57,55.97
Setr Al Rakan Trading Company,182,11574.49,63.6
Shqadaf Company For Transportation,62,3872.92,62.47
Tabarak Internation for the transportation of pilgrims,12,650.27,54.19
Takween Al Watan Co.Ltd,68,3726.27,54.8
Tarheeb Transport LTD,53,2696.18,50.87
Tawaf Transport Services Company,103,5826.22,56.57
Terhal,84,4401.62,52.4
Trabut Co Ltd,89,5995.33,67.36
Travel Gate,60,3593,59.88
Umm Alqura Co,60,3758.3,62.64
Unknown,418,23858.4,57.08
Zaer transport company for Transportation,19,1227.11,64.58
alwataniya company for umrah,111,6077.75,54.75
alwessam almutamayiza for the transportation of pilgrims,9,517.52,57.5
basma emaar group for transportation,7,365.83,52.26
dawahi alkhair company,178,9246.89,51.95
makkiyoon Al Zahabia Company For Transportation,170,10099.53,59.41
