Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,92,53.68,0.58
AL-ojoor Company,91,45.27,0.5
AL-wafaa Diamond,13,7.92,0.61
AL.MUTASADIR COMPANY,45,17.48,0.39
Abdulelah M. Ali Maghrabi for the transportation of pilgrims,2,1.48,0.74
Afaj Alalmeeya Company,129,73.85,0.57
Al Baraka Company,263,177.07,0.67
Al Khomri Company For Hotels Hajj and Umrah,64,22.6,0.35
Al Maher Al Massi Transport Company,47,31.53,0.67
Al Safeer Company For The Transportation of pilgrims,289,126.62,0.44
Al Serag Transportation Co.,7,2,0.29
Al madinah Al menawarah for the transportation of pilgrims,272,154.02,0.57
Al-Baraka International Trading Company,10,2.43,0.24
Al-Sunbulah Al-Raqiyya,108,40.87,0.38
Aljomoh Transportation Service Company,188,83.57,0.44
Almassa Almotamiza for the transportation of pilgrims,102,48.93,0.48
Ameer Albaher For The Transportation of pilgrims,46,20.15,0.44
Anaqeel Aarbi,83,49.87,0.6
Arkan Almashaer for the transportation of pilgrims,76,30.32,0.4
Atheer Almshaer,7,2.3,0.33
Carthage Alhadetha Company for the transportation of pilgrims,14,4.18,0.3
Dalah Company For Transportation of Pilgrims,204,87.15,0.43
Dura Al Munawwarah,1502,1260.71,0.84
EL Mahanaa El momaiz For The Transportation of Pilgrims,135,131.17,0.97
Hafil Company For Transportaion,348,173.18,0.5
Hussein Mohammad Hijazi COMPANI For Transportaion,534,266.32,0.5
Kayan Almashaer Transport Company,191,74.72,0.39
Maaden Hajj And Umrah Trasportation,5,2.97,0.59
Makkah Transportation Company,88,75.23,0.85
Masar AL-hafelt,83,46.43,0.56
Mawakeb Al Janoub  Company,227,111.48,0.49
Mawakeb Al Khair Transport Company,122,61.78,0.51
Mazaya For The Transportation of Pilgrims,311,185.52,0.6
Mrasee,7,1.82,0.26
Mustakbal Al Mashair For TheTransportation of Pilgrims,31,9.72,0.31
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,278,126.43,0.45
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,797,504.42,0.63
Rabitat El Mashaer,198,125.9,0.64
Rahal Al-Oula,35,23.72,0.68
Rawaf Transport Company,516,244.78,0.47
Rawahel al mashaer for the transportation of pilgrims,268,251.5,0.94
Rekab Alowla for the transportation of pilgrims,29,10.33,0.36
Rowad Al-Afdal Company,133,96.15,0.72
Rsaeel ALhoda,19,5.92,0.31
Ruba Al Hijaz,53,58.95,1.11
SAQAR ALHIAJ,342,508.03,1.49
SHARIA FOUNDATION,95,56.87,0.6
Saleh Adnan Mosli Est,34,19.47,0.57
Samaya for the transportation of pilgrims,321,198.97,0.62
Saudi Al Qaid Co,202,97.78,0.48
Saudi Public Transport Company,39,11.8,0.3
Setr Al Rakan Trading Company,59,45.37,0.77
Shqadaf Company For Transportation,90,50.35,0.56
Tabarak Internation for the transportation of pilgrims,6,8.17,1.36
Takween Al Watan Co.Ltd,6,1.58,0.26
Tarheeb Transport LTD,72,26.68,0.37
Tawaf Transport Services Company,261,89.27,0.34
Terhal,61,30.57,0.5
Trabut Co Ltd,55,34.25,0.62
Travel Gate,222,123.97,0.56
Umm Alqura Co,5,4.43,0.89
Unknown,382,309.97,0.81
Zaer transport company for Transportation,28,22.37,0.8
alwataniya company for umrah,162,192.18,1.19
alwessam almutamayiza for the transportation of pilgrims,10,3.42,0.34
basma emaar group for transportation,801,417.61,0.52
dawahi alkhair company,430,239.18,0.56
makkiyoon Al Zahabia Company For Transportation,44,31.5,0.72
