Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,126,6179.5,49.04
AL-ojoor Company,90,1595.75,17.73
AL-wafaa Diamond,3,40.73,13.58
AL.MUTASADIR COMPANY,34,888.45,26.13
Abdulelah M. Ali Maghrabi for the transportation of pilgrims,1,7.17,7.17
Afaj Alalmeeya Company,85,2016.18,23.72
Al Baraka Company,175,3607.97,20.62
Al Khomri Company For Hotels Hajj and Umrah,15,360.77,24.05
Al Maher Al Massi Transport Company,57,964.85,16.93
Al Safeer Company For The Transportation of pilgrims,195,7503.2,38.48
Al madinah Al menawarah for the transportation of pilgrims,167,3588.57,21.49
Al-Baraka International Trading Company,5,127.5,25.5
Al-Sunbulah Al-Raqiyya,61,1209.5,19.83
Aljomoh Transportation Service Company,65,2458.98,37.83
Almassa Almotamiza for the transportation of pilgrims,2,61.72,30.86
Ameer Albaher For The Transportation of pilgrims,63,1626.25,25.81
Anaqeel Aarbi,9,109.03,12.11
Arkan Almashaer for the transportation of pilgrims,11,1729.62,157.24
Atheer Almshaer,15,228.98,15.27
Carthage Alhadetha Company for the transportation of pilgrims,26,414.68,15.95
Dalah Company For Transportation of Pilgrims,21,731.32,34.82
Dura Al Munawwarah,474,16858.67,35.57
EL Mahanaa El momaiz For The Transportation of Pilgrims,44,1642.92,37.34
Hafil Company For Transportaion,343,7090.08,20.67
Hussein Mohammad Hijazi COMPANI For Transportaion,217,4264.14,19.65
Kayan Almashaer Transport Company,121,1870.23,15.46
Maaden Hajj And Umrah Trasportation,6,72.5,12.08
Makkah Transportation Company,12,597.33,49.78
Masar AL-hafelt,26,443.57,17.06
Mawakeb Al Janoub  Company,23,514.95,22.39
Mawakeb Al Khair Transport Company,15,173.47,11.56
Mazaya For The Transportation of Pilgrims,194,34309.72,176.85
Mrasee,1,27,27
Mustakbal Al Mashair For TheTransportation of Pilgrims,21,682.73,32.51
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,36,8420.1,233.89
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,106,2765.75,26.09
Rabitat El Mashaer,47,645.6,13.74
Rahal Al-Oula,14,185.92,13.28
Rawaf Transport Company,17,371.07,21.83
Rawahel al mashaer for the transportation of pilgrims,31,579.13,18.68
Rekab Alowla for the transportation of pilgrims,19,1673.37,88.07
Rowad Al-Afdal Company,100,1709.42,17.09
Rsaeel ALhoda,11,151.07,13.73
Ruba Al Hijaz,7,60.02,8.57
SAQAR ALHIAJ,102,3692.4,36.2
SHARIA FOUNDATION,88,21500.77,244.33
Saleh Adnan Mosli Est,26,315.83,12.15
Samaya for the transportation of pilgrims,86,2314.58,26.91
Saudi Al Qaid Co,23,340.7,14.81
Setr Al Rakan Trading Company,25,569.98,22.8
Shqadaf Company For Transportation,10,242.78,24.28
Tabarak Internation for the transportation of pilgrims,3,70.5,23.5
Takween Al Watan Co.Ltd,6,123.85,20.64
Tarheeb Transport LTD,23,685.12,29.79
Tawaf Transport Services Company,193,3490.6,18.09
Terhal,2,31.8,15.9
Trabut Co Ltd,82,1620.75,19.77
Travel Gate,113,25495.13,225.62
Umm Alqura Co,3,10.93,3.64
Unknown,152,6542.97,43.05
Zaer transport company for Transportation,31,975.62,31.47
alwataniya company for umrah,92,1663.45,18.08
alwessam almutamayiza for the transportation of pilgrims,2,128.93,64.47
basma emaar group for transportation,30,463.72,15.46
dawahi alkhair company,241,11189.33,46.43
makkiyoon Al Zahabia Company For Transportation,48,1910.47,39.8
