Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,27,487.12,18.04
AL-ojoor Company,1,0.6,0.6
AL-wafaa Diamond,1,65.43,65.43
AL.MUTASADIR COMPANY,5,130.75,26.15
Abdulelah M. Ali Maghrabi for the transportation of pilgrims,1,7.65,7.65
Afaj Alalmeeya Company,4,50.88,12.72
Al Baraka Company,5,107.07,21.41
Al Khomri Company For Hotels Hajj and Umrah,12,308.62,25.72
Al Maher Al Massi Transport Company,17,217.22,12.78
Al Safeer Company For The Transportation of pilgrims,9,80.67,8.96
Al madinah Al menawarah for the transportation of pilgrims,12,125.07,10.42
Al-Sunbulah Al-Raqiyya,4,157.7,39.43
Aljomoh Transportation Service Company,7,71.58,10.23
Almassa Almotamiza for the transportation of pilgrims,16,269.73,16.86
Ameer Albaher For The Transportation of pilgrims,3,46.68,15.56
Anaqeel Aarbi,3,38.68,12.89
Dalah Company For Transportation of Pilgrims,11,435.03,39.55
Dura Al Munawwarah,14,337.62,24.12
EL Mahanaa El momaiz For The Transportation of Pilgrims,16,443.43,27.71
Hafil Company For Transportaion,3,14.85,4.95
Hussein Mohammad Hijazi COMPANI For Transportaion,49,1528.55,31.19
Kayan Almashaer Transport Company,12,359.45,29.95
Makkah Transportation Company,28,1716.63,61.31
Masar AL-hafelt,13,378.73,29.13
Mawakeb Al Janoub  Company,17,700.83,41.23
Mawakeb Al Khair Transport Company,10,197.2,19.72
Mazaya For The Transportation of Pilgrims,24,577.93,24.08
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,10,218.67,21.87
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,17,889.92,52.35
Rahal Al-Oula,25,737.92,29.52
Rawaf Transport Company,34,775.47,22.81
Rawahel al mashaer for the transportation of pilgrims,36,1200.88,33.36
Rsaeel ALhoda,4,36.48,9.12
SAQAR ALHIAJ,2,25.82,12.91
SHARIA FOUNDATION,5,48.5,9.7
Samaya for the transportation of pilgrims,27,706.67,26.17
Saudi Al Qaid Co,21,1061.32,50.54
Saudi Public Transport Company,7,314.03,44.86
Setr Al Rakan Trading Company,3,77.4,25.8
Shqadaf Company For Transportation,16,217.48,13.59
Tabarak Internation for the transportation of pilgrims,1,1.27,1.27
Tarheeb Transport LTD,1,60.38,60.38
Tawaf Transport Services Company,19,1027.6,54.08
Terhal,7,250.02,35.72
Travel Gate,6,125.82,20.97
Unknown,33,817.47,24.77
Zaer transport company for Transportation,12,654.12,54.51
alwataniya company for umrah,7,169.47,24.21
alwessam almutamayiza for the transportation of pilgrims,1,2.75,2.75
basma emaar group for transportation,10,113.1,11.31
dawahi alkhair company,13,540.17,41.55
makkiyoon Al Zahabia Company For Transportation,14,304.97,21.78
